State,Population,Percentage,OverallDiff,MaleDiff,FemaleDiff,WhiteDiff,HispanicDiff,AsianDiff,BlackDiff,AmInAlaskaDiff,Overall,Male,Female,White,Hispanic,Asian,Black,AmInAlaska
Alabama,4863300,0.015050715,-4.1,-3.5,-4.6,-3.7,-4.9,,,-2.2,9.9,9.3,10.6,6.3,16.1,,,24.7
Alaska,741894,0.002295979,3.1,2.6,3.4,2.2,9.1,-0.6,3.6,,17.1,15.4,18.6,12.2,30.1,11.1,27.4,
Arizona,6931071,0.021449956,3.2,3,3.4,3.7,5.7,,4.9,,17.2,15.8,18.6,13.7,26.7,,28.7,
Arkansas,2988248,0.009247891,2.4,2.7,2,0.9,2.5,1.5,-1.8,7.5,16.4,15.5,17.2,10.9,23.5,13.2,22,34.4
California,39250017,0.121469127,0.3,0.5,0.2,-0.5,-1.9,-0.4,-1.9,-3,14.3,13.3,15.4,9.5,19.1,11.3,21.9,23.9
Colorado,5540545,0.017146621,-3,-2.7,-3.2,-1.7,-3.1,-1.5,-4.1,,11,10.1,12,8.3,17.9,10.2,19.7,
Connecticut,3576452,0.011068237,-4.2,-3.9,-4.6,-4.1,-0.6,-3.4,-5.4,,9.8,8.9,10.6,5.9,20.4,8.3,18.4,
Delaware,952065,0.002946406,-2.3,-2.5,-2.3,-2.4,3.5,,-6.1,,11.7,10.3,12.9,7.6,24.5,,17.7,
Florida,20612439,0.063790418,0.7,0.8,0.6,0.6,-2.1,0.5,-1.1,,14.7,13.6,15.8,10.6,18.9,12.2,22.7,
Georgia,10310371,0.031908057,2,1.6,2.2,0.8,3.3,0.2,-1.3,,16,14.4,17.4,10.8,24.3,11.9,22.5,
Hawaii,1428557,0.004421032,-4.7,-4.5,-4.9,-1.4,-10.2,-5.2,,,9.3,8.3,10.3,8.6,10.8,6.5,,
Idaho,1683140,0.005208903,-2.2,-2.4,-2.1,-0.3,2.1,2.2,11.4,,11.8,10.4,13.1,9.7,23.1,13.9,35.2,
Illinois,12801539,0.039617608,0.4,0.7,0,2.8,1.1,,,,14.4,13.5,15.2,12.8,22.1,,,
Indiana,6633053,0.020527664,-1,-1.2,-1,-1.2,-3.8,-0.1,2.8,,13,11.6,14.2,8.8,17.2,11.6,26.6,
Iowa,3134693,0.009701102,0.1,-0.1,0.2,1.1,3.2,11.2,4.9,,14.1,12.7,15.4,11.1,24.2,22.9,28.7,
Kansas,2907289,0.008997343,-1.9,-1.8,-2,0,-2.8,1.8,0.7,,12.1,11,13.2,10,18.2,13.5,24.5,
